# RC100 Table 3: Galaxy best-fit parameters and characteristics
# Source: Nestor Shachar et al. (2023), ApJ 944, 78 (arXiv:2209.12199)
# Transcribed from rasterized PDF table (pages 27-29) — verify critical values against original paper
# Columns: num, Galaxy, z, FWHM_arcsec, T_int_hrs, delta_log_SFR, log_Mstar, log_Mbaryon, e_log_Mbaryon, log_Mbulge, e_log_Mbulge, Re_kpc, e_Re_kpc, fDM, e_fDM, Vc_kms, e_Vc_kms, sigma0_kms, e_sigma0_kms, log_Mvir_SMHM, log_SigSFR, log_SigDM, e_log_SigDM
num,Galaxy,z,FWHM_arcsec,T_int_hrs,delta_log_SFR,log_Mstar,log_Mbaryon,e_log_Mbaryon,log_Mbulge,e_log_Mbulge,Re_kpc,e_Re_kpc,fDM,e_fDM,Vc_kms,e_Vc_kms,sigma0_kms,e_sigma0_kms,log_Mvir_SMHM,log_SigSFR,log_SigDM,e_log_SigDM
1,U4 38210,0.61,0.75,4.9,0.14,10.85,10.99,0.13,10.44,0.19,8.10,1.53,0.44,0.13,240,48,44,7,12.44,-1.14,8.36,0.54
2,U4 20688,0.63,0.70,4.9,0.16,11.00,10.81,0.11,10.62,0.12,9.57,1.65,0.67,0.13,275,55,16,6,12.20,-1.18,8.59,0.44
3,EGS3 10098,0.66,0.77,21.0,0.49,11.11,10.93,0.11,10.71,0.13,2.95,0.92,0.14,0.12,271,54,29,12,12.36,0.28,8.40,1.20
4,U3 21388,0.67,0.54,8.2,-0.37,10.76,10.64,0.18,9.33,0.33,7.81,1.28,0.70,0.13,205,41,53,7,12.02,-1.61,8.44,0.41
5,EGS4 21351,0.73,0.78,19.0,0.72,10.94,10.61,0.14,10.27,0.17,4.16,1.66,0.06,0.08,159,32,17,5,11.89,0.17,7.40,0.87
6,GS4 00984,0.73,0.52,8.1,0.04,9.48,9.72,0.21,9.02,0.29,5.25,1.67,0.79,0.14,116,23,25,5,11.35,-1.47,8.18,0.55
7,EGS4 11261,0.75,0.86,24.0,0.56,11.25,11.12,0.08,10.81,0.12,5.02,1.22,0.20,0.10,294,59,22,7,12.58,0.03,8.41,0.80
8,GS4 13143,0.76,0.52,8.9,0.33,9.82,10.33,0.11,10.18,0.13,5.51,1.26,0.41,0.13,147,29,22,7,11.61,-0.90,8.07,0.54
9,U3 08493,0.79,0.56,9.0,0.30,10.77,11.08,0.11,10.48,0.19,3.79,1.01,0.10,0.11,267,53,16,10,12.50,-0.18,8.14,1.00
10,COS4 05656,0.80,0.50,6.2,0.93,10.68,10.61,0.10,10.32,0.13,4.99,1.39,0.27,0.12,181,36,24,5,11.80,0.20,8.12,0.74
11,COS4 05925,0.80,0.54,6.2,0.32,10.63,10.95,0.15,10.55,0.18,5.72,1.08,0.36,0.17,257,51,35,11,12.25,-0.53,8.49,0.78
12,U3 03856,0.80,0.54,4.4,-0.08,10.59,10.62,0.17,10.02,0.23,7.54,1.55,0.64,0.20,212,42,25,8,11.93,-1.18,8.45,0.59
13,U3 05138,0.81,0.73,16.2,-0.30,10.20,10.46,0.11,10.16,0.13,7.60,1.46,0.38,0.16,136,27,29,6,11.77,-1.48,7.83,0.59
14,U4 42393,0.82,0.70,4.9,0.82,10.93,11.15,0.10,10.63,0.17,2.61,0.73,0.08,0.07,335,67,64,11,12.52,0.78,8.41,1.17
15,GS4 03228,0.82,0.53,8.1,0.48,9.49,10.08,0.17,9.99,0.18,6.79,1.46,0.70,0.13,142,28,13,7,11.44,-1.16,8.18,0.44
16,GS4 32976,0.83,0.52,6.9,0.22,10.37,10.70,0.09,10.65,0.09,7.73,1.45,0.57,0.09,235,47,43,6,11.93,-0.93,8.48,0.46
17,GS3 23200,0.83,0.46,4.3,0.36,10.07,10.25,0.18,8.73,0.94,6.72,1.49,0.63,0.16,127,25,33,3,11.55,-0.83,8.05,0.55
18,COS4 01351,0.85,0.67,12.0,0.50,10.73,11.13,0.11,10.51,0.17,7.52,1.41,0.38,0.09,267,53,58,4,12.42,-0.49,8.42,0.50
19,COS4 06487,0.91,0.52,6.2,0.20,10.85,10.91,0.09,10.75,0.11,4.97,1.50,0.50,0.14,232,46,30,7,12.25,-0.40,8.66,0.57
20,COS3 18434,0.91,0.54,2.0,0.45,10.77,10.73,0.10,10.53,0.12,6.75,1.57,0.17,0.12,260,52,22,11,11.97,-0.44,8.47,0.57
21,U4 19951,0.91,0.59,4.6,0.42,11.13,11.21,0.07,10.93,0.10,8.63,1.28,0.53,0.19,152,30,25,7,11.86,-1.50,7.96,0.68
22,COS3 22796,0.91,0.65,10.8,-0.16,10.32,10.61,0.19,9.73,0.31,9.93,1.71,0.31,0.13,213,43,29,5,12.18,-0.76,8.19,0.59
23,U4 13849,0.91,0.52,11.8,0.15,10.71,10.88,0.12,10.42,0.16,6.79,1.35,0.02,0.04,117,23,35,5,11.77,-0.38,6.71,0.62
24,U4 22199,0.91,0.59,4.6,0.26,10.60,10.72,0.10,10.46,0.13,5.79,1.28,0.28,0.12,182,36,30,6,12.07,-0.53,8.08,0.61
25,U3 15226,0.92,0.75,19.8,0.05,11.11,11.21,0.13,10.14,0.14,5.71,1.41,0.74,0.11,193,39,61,5,11.52,-0.73,8.55,0.49
26,GS4 05881,0.99,0.57,13.9,0.46,9.78,10.51,0.13,10.21,0.15,5.82,1.64,0.65,0.11,207,41,38,5,11.72,-0.05,8.55,0.53
